"X","TLID","STATEFP","COUNTYFP","TFIDL","TFIDR","MTFCC","FULLNAME","SMID","LFROMADD","LTOADD","RFROMADD","RTOADD","ZIPL","ZIPR","Length","CLASS","RDTYPE","Main","DeadEnd","Cluster","unit_N","unit_N_orig","property_N","parcel_N","BG_ID_10","CT_ID_10"
8140,85728787,25,25,205872008,205872012,"S1400","Norfolk Ave",2758,"290","322","293","299",2125,2125,93.27,5,5,0,0,3,5,5,4,4,250250913002,25025091300
8141,85701271,25,25,205872002,205872015,"S1400","Marshfield St",2758,"2","14","1","21",2119,2119,131.66,5,5,0,0,1,28,28,12,12,250250906002,25025090600
8142,85701289,25,25,205872020,205872021,"S1400","Magnolia St",2758,"12","28","13","27",2125,2125,48.4,5,5,0,0,5,113,20,11,11,250250914002,25025091400
8143,85736489,25,25,205863096,205872028,"S1400","Arborway",2758," "," "," "," ",0,0,66.42,4,4,1,0,0,0,0,0,0,250251201053,25025120105
8144,85733283,25,25,205873772,205872028,"S1400","Arborway",2758," "," "," "," ",0,0,58.25,4,4,1,0,0,0,0,0,0,250251201053,25025120105
8145,85701335,25,25,205872040,262485873,"S1400","Monadnock St",2758,"2","98","1","99",2125,2125,441.59,5,5,0,0,2,97,97,63,46,250250914001,25025091400
8146,85701952,25,25,205873013,262485873,"S1400","Bird St",2758,"80","94","81","99",2125,2125,54.53,5,5,0,0,2,38,7,6,4,250250914001,25025091400
8147,85701333,25,25,205870398,262485873,"S1400","Dudley St",2758,"722","730","705","723",2125,2125,68.99,4,4,1,0,3,90,90,5,5,250250913002,25025091300
8148,85731011,25,25,205868584,205872032,"S1400","E Cottage St",2758,"170","184","179","183",2125,2125,38.93,4,4,1,0,0,0,0,0,0,250250907003,25025090700
8149,85712413,25,25,205872036,205872034,"S1400","Eastman St",2758,"12","98","17","99",2125,2125,146.38,5,5,0,0,4,35,35,25,22,250250913001,25025091300
8150,633316441,25,25,259820013,205872038,"S1200","Commonwealth Ave",2758," "," "," "," ",0,0,319.96,2,2,1,0,0,0,0,0,0,250250007015,25025000701
8151,85722148,25,25,205870417,205872040,"S1400","Virginia St",2758,"2","30","1","31",2125,2125,196.53,5,5,0,0,4,89,27,18,18,250250914001,25025091400
8152,85701354,25,25,205872044,205872044,"S1400","Belden Sq",0,"2","98","1","99",2125,2125,30.84,5,5,0,1,3,0,0,2,2,250250913001,25025091300
8153,85712462,25,25,205868586,205872049,"S1400","Willis St",2758,"14","32","19","33",2125,2125,65.78,5,5,0,0,2,15,15,7,7,250250912001,25025091200
