TLID,LST_weighted,LST_CT
85695388,0.602808355,0.702946909
85695021,0.642840024,0.702946909
85695329,0.7004001990000001,0.702946909
85695336,0.8906177959999999,0.702946909
85695418,0.412989345,0.702946909
85695010,0.5690745429999999,0.702946909
85695415,0.5267221639999999,0.702946909
85695475,0.538886042,0.702946909
85695349,0.579746043,0.702946909
85695402,0.62649427,0.702946909
85695027,0.790470775,0.702946909
85695351,0.578695294,0.702946909
85695347,0.637923796,0.702946909
85727107,0.844959095,0.702946909
85695323,0.609580778,0.702946909
85695017,0.555056816,0.702946909
85695350,0.534124716,0.702946909
85727099,0.806067992,0.702946909
85695390,0.548394426,0.702946909
85727003,0.620181353,0.702946909
85695459,0.5345878070000001,0.702946909
85695340,0.83477318,0.702946909
85732173,0.35702736399999996,0.702946909
85727106,0.619153023,0.702946909
85727109,0.722321245,0.702946909
85726993,0.604932705,0.702946909
85695455,0.59977914,0.702946909
636950103,0.618624369,0.702946909
85695026,0.711297272,0.702946909
85695353,0.50643158,0.702946909
633012947,0.737236971,0.702946909
85695023,0.7390687579999999,0.702946909
85722284,0.630382953,0.702946909
85726990,0.6124877639999999,0.702946909
85695394,0.671882689,0.702946909
85695018,0.666071989,0.702946909
85695392,0.666505574,0.702946909
85695505,0.640497972,0.702946909
85695414,0.5289315760000001,0.702946909
85695461,0.548430751,0.702946909
85718304,0.51938744,0.702946909
85695456,0.585317156,0.702946909
85695412,0.49917522200000003,0.702946909
85695413,0.5286792889999999,0.702946909
85695419,0.564447888,0.702946909
85694975,0.732968898,0.702946909
85695028,0.71937456,0.702946909
85695324,0.55234966,0.702946909
85695019,0.5647161279999999,0.702946909
85695352,0.5373007479999999,0.702946909
85695330,0.7321367990000001,0.702946909
85695318,0.605653376,0.702946909
85694974,0.643111043,0.702946909
85695189,0.682317024,0.702946909
85727051,0.604075424,0.702946909
636950020,0.755222567,0.702946909
85718528,0.592547124,0.702946909
85725384,0.561489736,0.702946909
85725382,0.528221179,0.702946909
85695338,0.812930645,0.702946909
85695438,0.541586804,0.702946909
85695405,0.581125281,0.702946909
85722283,0.546535851,0.702946909
85695326,0.6753720790000001,0.702946909
85695332,0.694360633,0.702946909
85695458,0.542604938,0.702946909
639989285,0.77166821,0.702946909
635833414,0.639710851,0.702946909
85695339,0.691621967,0.702946909
85694973,0.663290709,0.702946909
85695498,0.6969807090000001,0.702946909
85726971,0.589702002,0.702946909
85694958,0.687129496,0.702946909
85695020,0.5902511229999999,0.702946909
85695416,0.517061467,0.702946909
85695024,0.722370574,0.702946909
85695504,0.731215983,0.702946909
85695491,0.647775784,0.702946909
85726969,0.610649279,0.702946909
85695346,0.755964234,0.702946909
85695417,0.464114085,0.702946909
85695022,0.736849058,0.702946909
85694790,0.52217475,0.547035484
85694828,0.517721345,0.547035484
85694774,0.484931285,0.547035484
85722273,0.48528472200000006,0.547035484
85694758,0.553876131,0.547035484
85694768,0.536026298,0.547035484
85735893,0.47647133700000005,0.547035484
85694740,0.485979034,0.547035484
85694734,0.535143322,0.547035484
85694791,0.55366857,0.547035484
85694745,0.5268725639999999,0.547035484
85694784,0.5831734789999999,0.547035484
85724523,0.38781384700000004,0.547035484
85718294,0.41904947299999995,0.547035484
85694839,0.5335563179999999,0.547035484
85694783,0.562110469,0.547035484
85694785,0.575915848,0.547035484
85694741,0.541600382,0.547035484
85694831,0.537451231,0.547035484
85694686,0.40279575799999995,0.547035484
85694757,0.581515682,0.547035484
85694684,0.40314279,0.547035484
85694720,0.43889117299999997,0.547035484
85694830,0.534476112,0.547035484
85694782,0.520604235,0.547035484
85694689,0.444821869,0.547035484
85694948,0.67919661,0.547035484
85694827,0.588861333,0.547035484
85726973,0.5500517779999999,0.547035484
85722274,0.520855344,0.547035484
85694759,0.44585659899999996,0.547035484
85694742,0.550232846,0.547035484
85694692,0.46906079100000003,0.547035484
85694777,0.520534002,0.547035484
85694761,0.474450359,0.547035484
85694760,0.558819062,0.547035484
85694724,0.534933028,0.547035484
85694829,0.5267221639999999,0.547035484
85694841,0.585315202,0.547035484
